gene,orf name,description,functional category,slide(s),mating type,source of deletion mutant(s),primary Hybset(s),responsive/non-responsive,"nr. sign. changes (p<0.05, FC>1.7)",profile first published
OPI1,YHL020C,Transcriptional regulator of a variety of genes; phosphorylation by protein kinase A stimulates Opi1p function in negative regulation of phospholipid biosynthetic genes; involved in telomere maintenance,Pol II transcription,TLS_00008192_S01 / SHE_00009091_S01,MATalpha,Open Biosystems / Open Biosystems,HTP004 / HTP004,responsive mutant,230,This study
POG1,YIL122W,Nuclear chromatin-associated protein of unknown function; overexpression promotes recovery from pheromone induced arrest and suppresses the stress sensitivity caused by a mutation in the E3 ubiquitin ligase Rsp5p; binds upstream of BAR1 and cell cycle-related genes; potential Cdc28p substrate; SBF regulated,Pol II transcription,SHE_00008345_S01 / JBE_00009140_S01,MATalpha,Open Biosystems / Open Biosystems,HTP026 / HTP026,responsive mutant,19,This study
RTR1,YER139C,CTD phosphatase; dephosphorylates S5-P in the C-terminal domain of Rpo21p; has a cysteine-rich motif required for function and conserved in eukaryotes; shuttles between the nucleus and cytoplasm,Pol II transcription,JBE_00009989_S01 / JBE_00010319_S01,MATalpha,Open Biosystems / Open Biosystems,HTP103 / HTP103,responsive mutant,11,This study
SET5,YHR207C,"Methyltransferase involved in methylation of histone H4 Lys5, -8, -12; S-adenosylmethionine-dependent; zinc-finger protein, contains one canonical and two unusual fingers in unusual arrangements; deletion enhances replication of positive-strand RNA virus",Pol II transcription,JBE_00008713_S01,MATalpha,Open Biosystems,HTP045,responsive mutant,5,This study
SFG1,YOR315W,"Nuclear protein, putative transcription factor required for growth of superficial pseudohyphae (which do not invade the agar substrate) but not for invasive pseudohyphal growth; may act together with Phd1p; potential Cdc28p substrate",Pol II transcription,JBE_00008682_S01,MATalpha,Open Biosystems,HTP021,non-responsive mutant,0,This study
SIP3,YNL257C,"Protein that activates transcription through interaction with DNA-bound Snf1p, C-terminal region has a putative leucine zipper motif; potential Cdc28p substrate",Pol II transcription,TLS_00008212_S01 / TLS_00008171_S01,MATalpha,Open Biosystems / Open Biosystems,HTP002 / HTP001,non-responsive mutant,0,This study
SPT21,YMR179W,"Protein with a role in transcriptional silencing; required for normal transcription at several loci including HTA2-HTB2 and HHF2-HHT2, but not required at the other histone loci; functionally related to Spt10p",Pol II transcription,JBE_00008680_S01 / SHE_00009116_S01,MATalpha,Open Biosystems / Open Biosystems,HTP021 / HTP021,responsive mutant,233,This study
SPT2,YER161C,"Protein involved in negative regulation of transcription; required for RNA polyadenylation; exhibits regulated interactions with both histones and SWI-SNF components, has similarity to mammalian HMG1 proteins",Pol II transcription,MGK_00012111_S01 / MGK_00012112_S01,MATalpha,Open Biosystems / Open Biosystems,HTP158 / HTP158,responsive mutant,16,This study
SUB1,YMR039C,"Transcriptional coactivator, facilitates elongation through factors that modify RNAP II; role in peroxide resistance involving Rad2p; role in the hyperosmotic stress response through polymerase recruitment at RNAP II and RNAP III genes",Pol II transcription,JBE_00008958_S01 / TLS_00009711_S01,MATalpha,Open Biosystems / Open Biosystems,HTP065 / HTP065,responsive mutant,7,This study
SWI6,YLR182W,"Transcription cofactor; forms complexes with Swi4p and Mbp1p to regulate transcription at the G1/S transition; involved in meiotic gene expression; also binds Stb1p to regulate transcription at START; cell wall stress induces phosphorylation by Mpk1p, which regulates Swi6p localization; required for the unfolded protein response, independently of its known transcriptional coactivators",Pol II transcription,JBE_00010215_S01 / JBE_00010214_S01,MATalpha,"Holstege lab, UMC Utrecht / Holstege lab, UMC Utrecht",HTP109 / HTP109,responsive mutant,145,This study
THP2,YHR167W,"Subunit of the THO complex, which connects transcription elongation and mitotic recombination, and of the TREX complex, which is recruited to activated genes and couples transcription to mRNA export; involved in telomere maintenance",Pol II transcription,TLS_00006980_S01 / TLS_00006981_S01,MATalpha,Open Biosystems / Open Biosystems,TLS032 / TLS032,responsive mutant,17,This study
VHR1,YIL056W,"Transcriptional activator, required for the vitamin H-responsive element (VHRE) mediated induction of VHT1 (Vitamin H transporter) and BIO5 (biotin biosynthesis intermediate transporter) in response to low biotin concentrations",Pol II transcription,JBE_00009569_S01 / JBE_00010096_S01,MATalpha,Open Biosystems / Open Biosystems,HTP076 / HTP076,responsive mutant,10,This study
WTM1,YOR230W,"Transcriptional modulator involved in regulation of meiosis, silencing, and expression of RNR genes; required for nuclear localization of the ribonucleotide reductase small subunit Rnr2p and Rnr4p; contains WD repeats",Pol II transcription,TLS_00008096_S01 / TLS_00008097_S01,MATalpha,Open Biosystems / Open Biosystems,HTP006 / HTP006,non-responsive mutant,2,This study
WTM2,YOR229W,"Transcriptional modulator involved in regulation of meiosis, silencing, and expression of RNR genes; involved in response to replication stress; contains WD repeats",Pol II transcription,TLS_00008094_S01 / TLS_00008095_S01,MATalpha,Open Biosystems / Open Biosystems,HTP006 / HTP006,non-responsive mutant,2,This study
YTA7,YGR270W,"Protein that localizes to chromatin and has a role in regulation of histone gene expression; has a bromodomain-like region that interacts with the N-terminal tail of histone H3, and an ATPase domain; potentially phosphorylated by Cdc28p",Pol II transcription,JBE_00008474_S01 / JBE_00009162_S01,MATalpha,Open Biosystems / Open Biosystems,HTP035 / HTP035,responsive mutant,144,This study
COQ8,YGL119W,"Protein required for ubiquinone (coenzyme Q) biosynthesis and for respiratory growth; exhibits genetic interaction with COQ9, suggesting a common function; similar to prokaryotic proteins involved in early steps of ubiquinone biosynthesis",protein kinase,SV_00003828_S01 / SV_00003829_S01,MATalpha,"Holstege lab, UMC Utrecht / Holstege lab, UMC Utrecht",SV047 / SV047,non-responsive mutant,1,1
AKL1,YBR059C,"Ser-Thr protein kinase, member (with Ark1p and Prk1p) of the Ark kinase family; involved in endocytosis and actin cytoskeleton organization",protein kinase,IC_00003196_S01 / IC_00003197_S01,MATalpha,Euroscarf / Euroscarf,IC011 / IC011,non-responsive mutant,0,1
ALK1,YGL021W,"Protein kinase; accumulation and phosphorylation are periodic during the cell cycle; phosphorylated in response to DNA damage; contains characteristic motifs for degradation via the APC pathway; ALK1 has a paralog, ALK2, that arose from the whole genome duplication; similar to mammalian haspins",protein kinase,SV_00004105_S01 / SV_00004106_S01,MATalpha,Euroscarf / Euroscarf,SV052 / SV052,non-responsive mutant,0,1
ALK2,YBL009W,"Protein kinase; accumulation and phosphorylation are periodic during the cell cycle; phosphorylated in response to DNA damage; contains characteristic motifs for degradation via the APC pathway; ALK2 has a paralog, ALK1, that arose from the whole genome duplication; similar to mammalian haspins",protein kinase,IC_00003254_S01 / IC_00003255_S01,MATalpha,Euroscarf / Euroscarf,IC018 / IC018,non-responsive mutant,0,1
ARK1,YNL020C,Serine/threonine protein kinase involved in regulation of the cortical actin cytoskeleton; involved in control of endocytosis,protein kinase,IC_00003200_S01 / IC_00003201_S01,MATalpha,Euroscarf / Euroscarf,IC011 / IC011,non-responsive mutant,3,1
ATG1,YGL180W,Protein ser/thr kinase required for vesicle formation in autophagy and the cytoplasm-to-vacuole targeting (Cvt) pathway; structurally required for phagophore assembly site formation; during autophagy forms a complex with Atg13p and Atg17p,protein kinase,IC_00003233_S01 / IC_00003232_S01,MATalpha,Euroscarf / Euroscarf,IC010 / IC010,non-responsive mutant,1,1
BCK1,YJL095W,"Mitogen-activated protein (MAP) kinase kinase kinase acting in the protein kinase C signaling pathway, which controls cell integrity; upon activation by Pkc1p phosphorylates downstream kinases Mkk1p and Mkk2p",protein kinase,IC_00002932_S01 / IC_00002933_S01,MATalpha,Euroscarf / Euroscarf,IC012 / IC012,responsive mutant,6,1
SSN3,YPL042C,"Cyclin-dependent protein kinase, component of RNA polymerase II holoenzyme; involved in phosphorylation of the RNA polymerase II C-terminal domain; involved in glucose repression",protein kinase,MBR_00006084_S01 / MBR_00006085_S01,MATalpha,"Holstege lab, UMC Utrecht / Holstege lab, UMC Utrecht",cdk8remake / cdk8remake,responsive mutant,356,This study
CHK1,YBR274W,"Serine/threonine kinase and DNA damage checkpoint effector, mediates cell cycle arrest via phosphorylation of Pds1p; phosphorylated by checkpoint signal transducer Mec1p; homolog of S. pombe and mammalian Chk1 checkpoint kinase",protein kinase,IC_00002944_S01 / IC_00002945_S01,MATalpha,Euroscarf / Euroscarf,IC004 / IC004,responsive mutant,11,1
CKA1,YIL035C,"Alpha catalytic subunit of casein kinase 2 (CK2), a Ser/Thr protein kinase with roles in cell growth and proliferation; CK2, comprised of CKA1, CKA2, CKB1 and CKB2, has many substrates including transcription factors and all RNA polymerases",protein kinase,IC_00003567_S01 / IC_00003566_S01,MATalpha,"Holstege lab, UMC Utrecht / Holstege lab, UMC Utrecht",IC026 / IC026,responsive mutant,10,1
CKA2,YOR061W,"Alpha' catalytic subunit of casein kinase 2 (CK2), a Ser/Thr protein kinase with roles in cell growth and proliferation; CK2, comprised of CKA1, CKA2, CKB1 and CKB2, has many substrates including transcription factors and all RNA polymerase",protein kinase,SWA_00006078_S01 / SWA_00006079_S01,MATalpha,Euroscarf / Euroscarf,SEL01 / SEL01,responsive mutant,86,1
CKI1,YLR133W,"Choline kinase, catalyzing the first step in phosphatidylcholine synthesis via the CDP-choline (Kennedy pathway); exhibits some ethanolamine kinase activity contributing to phosphatidylethanolamine synthesis via the CDP-ethanolamine pathway",protein kinase,IC_00003037_S01 / IC_00003038_S01,MATalpha,Euroscarf / Euroscarf,IC015 / IC015,non-responsive mutant,1,1
CLA4,YNL298W,"Cdc42p-activated signal transducing kinase of the PAK (p21-activated kinase) family, along with Ste20p and Skm1p; involved in septin ring assembly, vacuole inheritance, cytokinesis, sterol uptake regulation; phosphorylates Cdc3p and Cdc10p",protein kinase,SV_00007191_S01 / SV_00007192_S01,MATalpha,"Holstege lab, UMC Utrecht / Holstege lab, UMC Utrecht",SV085 / SV085,responsive mutant,11,1
CMK1,YFR014C,"Calmodulin-dependent protein kinase; may play a role in stress response, many Ca++/calmodulin dependent phosphorylation substrates demonstrated in vitro, amino acid sequence similar to Cmk2p and mammalian Cam Kinase II",protein kinase,SV_00002897_S01 / SV_00002898_S01,MATalpha,Euroscarf / Euroscarf,SV019 / SV019,responsive mutant,4,1
CMK2,YOL016C,"Calmodulin-dependent protein kinase; may play a role in stress response, many CA++/calmodulan dependent phosphorylation substrates demonstrated in vitro, amino acid sequence similar to Cmk1p and mammalian Cam Kinase II",protein kinase,SV_00002899_S01 / SV_00002900_S01,MATalpha,Euroscarf / Euroscarf,SV019 / SV019,responsive mutant,5,1
CTK1,YKL139W,"Catalytic (alpha) subunit of C-terminal domain kinase I (CTDK-I); phosphorylates both RNA pol II subunit Rpo21p to affect transcription and pre-mRNA 3' end processing, and ribosomal protein Rps2p to increase translational fidelity; similar to the Drosophila dCDK12 and human CDK12 and probably CDK13",protein kinase,IC_00003563_S01 / IC_00003564_S01,MATalpha,Open Biosystems / Open Biosystems,IC026 / IC026,responsive mutant,580,1
DBF20,YPR111W,"Ser/Thr kinase involved in late nuclear division, one of the mitotic exit network (MEN) proteins; necessary for the execution of cytokinesis; also plays a role in regulating the stability of SWI5 and CLB2 mRNAs",protein kinase,SV_00002267_S01 / SV_00002268_S01,MATalpha,Euroscarf / Euroscarf,SV015 / SV015,non-responsive mutant,1,1
DUN1,YDL101C,"Cell-cycle checkpoint serine-threonine kinase required for DNA damage-induced transcription of certain target genes, phosphorylation of Rad55p and Sml1p, and transient G2/M arrest after DNA damage; also regulates postreplicative DNA repair",protein kinase,SWA_00006104_S01 / SWA_00006105_S01,MATalpha,Euroscarf / Euroscarf,SEL01 / SEL01,responsive mutant,33,1
EKI1,YDR147W,"Ethanolamine kinase, primarily responsible for phosphatidylethanolamine synthesis via the CDP-ethanolamine pathway; exhibits some choline kinase activity, thus contributing to phosphatidylcholine synthesis via the CDP-choline pathway",protein kinase,SV_00001465_S01 / SV_00001464_S01,MATalpha,Euroscarf / Euroscarf,SV010 / SV010,non-responsive mutant,0,1
ELM1,YKL048C,"Serine/threonine protein kinase that regulates cellular morphogenesis, septin behavior, and cytokinesis; required for the regulation of other kinases; forms part of the bud neck ring",protein kinase,SV_00005860_S01 / SV_00005861_S01,MATalpha,Euroscarf / Euroscarf,SV071 / SV071,responsive mutant,37,"1, 4"
FAB1,YFR019W,"1-phosphatidylinositol-3-phosphate 5-kinase; vacuolar membrane kinase that generates phosphatidylinositol (3,5)P2, which is involved in vacuolar sorting and homeostasis",protein kinase,SV_00004318_S01 / SV_00004319_S01,MATalpha,Euroscarf / Euroscarf,IC018b / IC018b,responsive mutant,34,1
FMP48,YGR052W,"Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; induced by treatment with 8-methoxypsoralen and UVA irradiation",protein kinase,IC_00003033_S01 / IC_00003034_S01,MATalpha,Euroscarf / Euroscarf,IC015 / IC015,non-responsive mutant,3,1
FUS3,YBL016W,"Mitogen-activated serine/threonine protein kinase involved in mating; phosphoactivated by Ste7p; substrates include Ste12p, Far1p, Bni1p, Sst2p; inhibits invasive growth during mating by phosphorylating Tec1p, promoting its degradation",protein kinase,SV_00001264_S01 / SV_00001265_S01,MATalpha,Euroscarf / Euroscarf,SV005_1 / SV005_1,responsive mutant,50,1
GCN2,YDR283C,"Protein kinase, phosphorylates the alpha-subunit of translation initiation factor eIF2 (Sui2p) in response to starvation; activated by uncharged tRNAs and the Gcn1p-Gcn20p complex; contributes to DNA damage checkpoint control",protein kinase,JBE_00011093_S01 / JBE_00011094_S01,MATalpha,Open Biosystems / Open Biosystems,HTP135 / HTP135,non-responsive mutant,1,This study
GIN4,YDR507C,"Protein kinase involved in bud growth and assembly of the septin ring; proposed to have kinase-dependent and kinase-independent activities; undergoes autophosphorylation; similar to Hsl1p; GIN4 has a paralog, KCC4, that arose from the whole genome duplication",protein kinase,SV_00002217_S01 / SV_00002218_S01,MATalpha,"Holstege lab, UMC Utrecht / Holstege lab, UMC Utrecht",SV030 / SV030,non-responsive mutant,0,1
HAL5,YJL165C,"Putative protein kinase; overexpression increases sodium and lithium tolerance, whereas gene disruption increases cation and low pH sensitivity and impairs potassium uptake, suggesting a role in regulation of Trk1p and/or Trk2p transporters",protein kinase,IC_00003522_S01 / IC_00003523_S01,MATalpha,Open Biosystems / Open Biosystems,IC025 / IC025,non-responsive mutant,2,1
HOG1,YLR113W,Mitogen-activated protein kinase involved in osmoregulation; acts via three independent osmosensors; mitophagy-specific regulator; mediates the recruitment and activation of RNA Pol II at Hot1p-dependent promoters; localization regulated by Ptp2p and Ptp3p,protein kinase,SV_00005848_S01 / SV_00005849_S01,MATalpha,Euroscarf / Euroscarf,SV070 / SV070,responsive mutant,24,1
HRK1,YOR267C,Protein kinase implicated in activation of the plasma membrane H(+)-ATPase Pma1p in response to glucose metabolism; plays a role in ion homeostasis,protein kinase,IC_00002570_S01 / IC_00002569_S01,MATalpha,Euroscarf / Euroscarf,IC008 / IC008,non-responsive mutant,1,1
HSL1,YKL101W,"Nim1p-related protein kinase that regulates the morphogenesis and septin checkpoints; associates with the assembled septin filament; required along with Hsl7p for bud neck recruitment, phosphorylation, and degradation of Swe1p",protein kinase,SV_00001546_S01 / SV_00001547_S01,MATalpha,Euroscarf / Euroscarf,SV024 / SV024,non-responsive mutant,3,1
IKS1,YJL057C,Protein kinase of unknown cellular role; putative serine/threonine kinase; expression is induced during mild heat stress; deletion mutants are hypersensitive to copper sulphate and resistant to sorbate; interacts with an N-terminal fragment of Sst2p,protein kinase,IC_00003154_S01 / IC_00003155_S01,MATalpha,Euroscarf / Euroscarf,IC014 / IC014,non-responsive mutant,2,1
IME2,YJL106W,"Serine/threonine protein kinase involved in activation of meiosis, associates with Ime1p and mediates its stability, activates Ndt80p; IME2 expression is positively regulated by Ime1p",protein kinase,IC_00002619_S01 / IC_00002620_S01,MATalpha,Euroscarf / Euroscarf,IC007 / IC007,non-responsive mutant,0,1
IRE1,YHR079C,Serine-threonine kinase and endoribonuclease; transmembrane protein that mediates the unfolded protein response (UPR) by regulating Hac1p synthesis through HAC1 mRNA splicing; Kar2p binds inactive Ire1p and releases from it upon ER stress,protein kinase,SV_00004429_S01 / SV_00004430_S01,MATalpha,Euroscarf / Euroscarf,IC004 / IC004,responsive mutant,20,1
KCC4,YCL024W,"Protein kinase of the bud neck involved in the septin checkpoint; associates with septin proteins, negatively regulates Swe1p by phosphorylation, shows structural homology to bud neck kinases Gin4p and Hsl1p; KCC4 has a paralog, GIN4, that arose from the whole genome duplication",protein kinase,SV_00001548_S01 / SV_00001549_S01,MATalpha,Euroscarf / Euroscarf,SV024 / SV024,non-responsive mutant,2,1
KIN1,YDR122W,Serine/threonine protein kinase involved in regulation of exocytosis; localizes to the cytoplasmic face of the plasma membrane; closely related to Kin2p,protein kinase,SV_00002260_S01 / SV_00002259_S01,MATalpha,Euroscarf / Euroscarf,SV014 / SV014,non-responsive mutant,2,1
KIN2,YLR096W,Serine/threonine protein kinase involved in regulation of exocytosis; localizes to the cytoplasmic face of the plasma membrane; closely related to Kin1p,protein kinase,SV_00002968_S01 / SV_00002967_S01,MATalpha,Euroscarf / Euroscarf,SV017_2 / SV017_2,non-responsive mutant,0,1
KIN3,YAR018C,Nonessential serine/threonine protein kinase; possible role in DNA damage response,protein kinase,SV_00005193_S01 / SV_00005194_S01,MATalpha,Euroscarf / Euroscarf,IC011 / IC011,responsive mutant,33,1
KIN4,YOR233W,"Serine/threonine protein kinase that inhibits the mitotic exit network (MEN) when the spindle position checkpoint is activated; localized asymmetrically to mother cell cortex, spindle pole body and bud neck",protein kinase,SV_00001516_S01 / SV_00001517_S01,MATalpha,Euroscarf / Euroscarf,SV018 / SV018,non-responsive mutant,0,1
KIN82,YCR091W,Putative serine/threonine protein kinase implicated in the regulation of phospholipid asymmetry through the activation of phospholipid translocases (flippases) Lem3p-Dnf1p/Dnf2p; similar to Fpk1p,protein kinase,SV_00002180_S01 / SV_00002179_S01,MATalpha,Euroscarf / Euroscarf,SV016 / SV016,responsive mutant,4,1
KKQ8,YKL168C,Putative serine/threonine protein kinase with unknown cellular role,protein kinase,IC_00002568_S01 / IC_00002567_S01,MATalpha,Euroscarf / Euroscarf,IC008 / IC008,responsive mutant,4,1
KNS1,YLL019C,"Protein kinase involved in negative regulation of PolIII transcription; effector kinase of the TOR signaling pathway and phosphorylates Rpc53p to regulate ribosome and tRNA biosynthesis; member of the LAMMER family of protein kinases, which are serine/threonine kinases also capable of phosphorylating tyrosine residues; capable of autophosphorylation",protein kinase,IC_00002621_S01 / IC_00002622_S01,MATalpha,Euroscarf / Euroscarf,IC007 / IC007,non-responsive mutant,3,1
KSP1,YHR082C,"Ser/thr protein kinase; associates with TORC1 and likely involved in TOR signaling cascades; negative regulator of autophagy; nuclear translocation required for haploid filamentous growth; regulates filamentous growth induced nuclear translocation of Bcy1p, Fus3p, and Sks1p; overproduction causes allele-specific suppression of prp20-10",protein kinase,IC_00003498_S01 / IC_00002573_S01,MATalpha,Euroscarf / Euroscarf,IC008 / IC008,responsive mutant,17,1
KSS1,YGR040W,Mitogen-activated protein kinase (MAPK) involved in signal transduction pathways that control filamentous growth and pheromone response; the KSS1 gene is nonfunctional in S288C strains and functional in W303 strains,protein kinase,SV_00002230_S01 / SV_00002229_S01,MATalpha,Euroscarf / Euroscarf,IC003 / IC003,non-responsive mutant,3,1
LCB4,YOR171C,"Sphingoid long-chain base kinase, responsible for synthesis of long-chain base phosphates, which function as signaling molecules, regulates synthesis of ceramide from exogenous long-chain bases, localizes to the Golgi and late endosomes",protein kinase,IC_00003265_S01 / IC_00003264_S01,MATalpha,Euroscarf / Euroscarf,IC016 / IC016,non-responsive mutant,0,1
LCB5,YLR260W,"Minor sphingoid long-chain base kinase, paralog of Lcb4p responsible for few percent of the total activity, possibly involved in synthesis of long-chain base phosphates, which function as signaling molecules",protein kinase,SV_00001474_S02 / SV_00001475_S02,MATalpha,Euroscarf / Euroscarf,SV012 / SV012,responsive mutant,5,1
MCK1,YNL307C,Protein serine/threonine/tyrosine (dual-specificity) kinase involved in control of chromosome segregation and in regulating entry into meiosis; related to mammalian glycogen synthase kinases of the GSK-3 family,protein kinase,SV_00002262_S01 / SV_00002261_S01,MATalpha,Euroscarf / Euroscarf,SV014 / SV014,responsive mutant,53,1
MEK1,YOR351C,"Meiosis-specific serine/threonine protein kinase, functions in meiotic checkpoint, promotes recombination between homologous chromosomes by suppressing double strand break repair between sister chromatids",protein kinase,SV_00003830_S01 / SV_00003831_S01,MATalpha,"Holstege lab, UMC Utrecht / Holstege lab, UMC Utrecht",SV047 / SV047,non-responsive mutant,1,1
MKK1,YOR231W,"Mitogen-activated kinase kinase involved in protein kinase C signaling pathway that controls cell integrity; upon activation by Bck1p phosphorylates downstream target, Slt2p; functionally redundant with Mkk2p",protein kinase,IC_00003150_S01 / IC_00003151_S01,MATalpha,Euroscarf / Euroscarf,IC014 / IC014,non-responsive mutant,0,1
MKK2,YPL140C,"Mitogen-activated kinase kinase involved in protein kinase C signaling pathway that controls cell integrity; upon activation by Bck1p phosphorylates downstream target, Slt2p; functionally redundant with Mkk1p",protein kinase,IC_00003152_S01 / IC_00003153_S01,MATalpha,Euroscarf / Euroscarf,IC014 / IC014,responsive mutant,4,1
MRK1,YDL079C,Glycogen synthase kinase 3 (GSK-3) homolog; one of four GSK-3 homologs in S. cerevisiae that function to activate Msn2p-dependent transcription of stress responsive genes and that function in protein degradation,protein kinase,SV_00002225_S01 / SV_00002226_S01,MATalpha,Euroscarf / Euroscarf,IC002 / IC002,non-responsive mutant,1,1
NPR1,YNL183C,"Protein kinase that stabilizes several plasma membrane amino acid transporters by antagonizing their ubiquitin-mediated degradation; phosphorylates Aly2p; negatively regulates Ldb19p-mediated endocytosis through phosphorylation of Ldb19p, which prevents its association with the plasma membrane; Npr1p activity is negatively regulated via phosphorylation by the TOR complex",protein kinase,IC_00002562_S01 / IC_00002561_S01,MATalpha,Euroscarf / Euroscarf,IC005 / IC005,non-responsive mutant,2,1
PBS2,YJL128C,MAP kinase kinase of the HOG signaling pathway; activated under severe osmotic stress; mitophagy-specific regulator; plays a role in regulating Ty1 transposition,protein kinase,SWA_00006076_S01 / SWA_00006077_S01,MATalpha,Euroscarf / Euroscarf,SEL01 / SEL01,responsive mutant,31,1
PHO85,YPL031C,"Cyclin-dependent kinase, with ten cyclin partners; involved in regulating the cellular response to nutrient levels and environmental conditions and progression through the cell cycle",protein kinase,SV_00005846_S01 / SV_00005847_S01,MATalpha,Euroscarf / Euroscarf,SV070 / SV070,responsive mutant,149,1
PKH1,YDR490C,"Serine/threonine protein kinase involved in sphingolipid-mediated signaling pathway that controls endocytosis; activates Ypk1p and Ykr2p, components of signaling cascade required for maintenance of cell wall integrity; redundant with Pkh2p",protein kinase,SV_00002176_S01 / SV_00002175_S01,MATalpha,Euroscarf / Euroscarf,SV016 / SV016,non-responsive mutant,1,"1, 4"
PKH3,YDR466W,"Protein kinase with similarity to mammalian phosphoinositide-dependent kinase 1 (PDK1) and yeast Pkh1p and Pkh2p, two redundant upstream activators of Pkc1p; identified as a multicopy suppressor of a pkh1 pkh2 double mutant",protein kinase,SV_00002269_S01 / SV_00002270_S01,MATalpha,Euroscarf / Euroscarf,SV015 / SV015,non-responsive mutant,0,1
PRK1,YIL095W,Protein serine/threonine kinase; regulates the organization and function of the actin cytoskeleton and reduces endocytic ability of cell through the phosphorylation of the Pan1p-Sla1p-End3p protein complex,protein kinase,IC_00003198_S01 / IC_00003199_S01,MATalpha,Euroscarf / Euroscarf,IC011 / IC011,non-responsive mutant,1,1
PRR1,YKL116C,"Serine/threonine protein kinase that inhibits pheromone induced signalling downstream of MAPK, possibly at the level of the Ste12p transcription factor",protein kinase,IC_00002986_S01 / IC_00002985_S01,MATalpha,Open Biosystems / Open Biosystems,IC017 / IC017,non-responsive mutant,2,1
PRR2,YDL214C,"Serine/threonine protein kinase that inhibits pheromone induced signalling downstream of MAPK, possibly at the level of the Ste12p transcription factor; mutant has increased aneuploidy tolerance",protein kinase,SV_00002245_S01 / SV_00002246_S01,MATalpha,Euroscarf / Euroscarf,IC006 / IC006,non-responsive mutant,3,1
PSK1,YAL017W,"PAS domain-containing serine/threonine protein kinase; coordinately regulates protein synthesis and carbohydrate metabolism and storage in response to a unknown metabolite that reflects nutritional status; PSK1 has a paralog, PSK2, that arose from the whole genome duplication",protein kinase,EA_00002609_S01 / EA_00002610_S01,MATalpha,Euroscarf / Euroscarf,EA011 / EA011,non-responsive mutant,2,1
PSK2,YOL045W,"PAS-domain containing serine/threonine protein kinase; regulates sugar flux and translation in response to an unknown metabolite by phosphorylating Ugp1p and Gsy2p (sugar flux) and Caf20p, Tif11p and Sro9p (translation); PSK2 has a paralog, PSK1, that arose from the whole genome duplication",protein kinase,EA_00002605_S01 / EA_00002606_S01,MATalpha,Euroscarf / Euroscarf,EA011 / EA011,non-responsive mutant,0,1
PTK1,YKL198C,Putative serine/threonine protein kinase that regulates spermine uptake; involved in polyamine transport; possible mitochondrial protein,protein kinase,IC_00002564_S01 / IC_00002563_S01,MATalpha,Euroscarf / Euroscarf,IC005 / IC005,non-responsive mutant,3,1
PTK2,YJR059W,Putative serine/threonine protein kinase involved in regulation of ion transport across plasma membrane; enhances spermine uptake,protein kinase,SV_00007015_S01 / SV_00007016_S01,MATalpha,Open Biosystems / Open Biosystems,SV079 / SV079,responsive mutant,7,1
RCK1,YGL158W,Protein kinase involved in the response to oxidative stress; identified as suppressor of S. pombe cell cycle checkpoint mutations,protein kinase,SV_00002905_S01 / SV_00002907_S01,MATalpha,Euroscarf / Euroscarf,SV022 / SV022,non-responsive mutant,0,1
RCK2,YLR248W,Protein kinase involved in the response to oxidative and osmotic stress; identified as suppressor of S. pombe cell cycle checkpoint mutations; similar to CaM (calmodulin) kinases,protein kinase,SV_00002908_S01 / SV_00002909_S01,MATalpha,Euroscarf / Euroscarf,SV022 / SV022,non-responsive mutant,0,1
RIM11,YMR139W,Protein kinase required for signal transduction during entry into meiosis; promotes the formation of the Ime1p-Ume6p complex by phosphorylating Ime1p and Ume6p; shares similarity with mammalian glycogen synthase kinase 3-beta,protein kinase,SV_00002979_S01 / SV_00002980_S01,MATalpha,Open Biosystems / Open Biosystems,IC017 / IC017,responsive mutant,5,"1, 4"
RIM15,YFL033C,"Glucose-repressible protein kinase involved in signal transduction during cell proliferation in response to nutrients, specifically the establishment of stationary phase; identified as a regulator of IME2; substrate of Pho80p-Pho85p kinase",protein kinase,SV_00002178_S01 / SV_00002177_S01,MATalpha,Euroscarf / Euroscarf,SV016 / SV016,responsive mutant,9,"1, 4"
SAK1,YER129W,"Upstream serine/threonine kinase for the SNF1 complex; partially redundant with Elm1p and Tos3p; members of this family have functional orthology with LKB1, a mammalian kinase associated with Peutz-Jeghers cancer-susceptibility syndrome",protein kinase,SV_00002910_S01 / SV_00002911_S01,MATalpha,Euroscarf / Euroscarf,SV022 / SV022,non-responsive mutant,0,"1, 4"
SAT4,YCR008W,Ser/Thr protein kinase involved in salt tolerance; funtions in regulation of Trk1p-Trk2p potassium transporter; partially redundant with Hal5p; has similarity to Npr1p,protein kinase,IC_00003375_S01 / IC_00003376_S01,MATalpha,Open Biosystems / Open Biosystems,IC022 / IC022,responsive mutant,7,1
SCY1,YGL083W,"Putative kinase, suppressor of GTPase mutant, similar to bovine rhodopsin kinase",protein kinase,IC_00003407_S01 / IC_00003408_S01,MATalpha,Open Biosystems / Open Biosystems,IC024 / IC024,non-responsive mutant,1,1
SKS1,YPL026C,Putative serine/threonine protein kinase; involved in the adaptation to low concentrations of glucose independent of the SNF3 regulated pathway,protein kinase,IC_00003229_S01 / IC_00003228_S01,MATalpha,Euroscarf / Euroscarf,IC010 / IC010,non-responsive mutant,2,1
